Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Intl relations & Defence,International Trade,Day to day Spending,Trade Policy,364.259,b,,,,364.259
,Intl relations & Defence,International Trade,Investment,Trade Policy,6.66,b,,,,6.66
,Intl relations & Defence,Exiting the EU,Day to day Spending,Exiting the European Union,101.04,b,,,,101.04
,Intl relations & Defence,Exiting the EU,Investment,Exiting the European Union,0.1,b,,,,0.1
,Intl relations & Defence,Defence,Day to day Spending,Equipment and Infrastructure,20831.835,b,,,,20831.835
,Intl relations & Defence,Defence,Day to day Spending,Service Personnel,9482.545,b,,,,9482.545
,Intl relations & Defence,Defence,Day to day Spending,Civilian Personnel,1778.762,b,,,,1778.762
,Intl relations & Defence,Defence,Day to day Spending,Administration Costs,1541,b,,,,1541
,Intl relations & Defence,Defence,Day to day Spending,Operations Costs,234.6,b,,,,234.6
,Intl relations & Defence,Defence,Day to day Spending,Other,2166.483,b,,,,2166.483
,Intl relations & Defence,Defence,Investment,Single Use Military Equipment,3971.144,b,,,,3971.144
,Intl relations & Defence,Defence,Investment,Other Capital & Estate (net),2461.777,b,,,,2461.777
,Intl relations & Defence,Defence,Investment,Research and Development,1921,b,,,,1921
,Intl relations & Defence,Defence,Investment,Operations Costs,80,b,,,,80
,Intl relations & Defence,Defence,Investment,Other,95.771,b,,,,95.771
,Intl relations & Defence,Foreign Affairs,Day to day Spending,FCO running costs,799.242,b,,,,799.242
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Programme and grants,363.12,b,,,,363.12
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Conflict prevention,435.858,b,,,,435.858
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Peacekeeping,372.232,b,,,,372.232
,Intl relations & Defence,Foreign Affairs,Day to day Spending,British Council,161.5,b,,,,161.5
,Intl relations & Defence,Foreign Affairs,Day to day Spending,Other,5.993,b,,,,5.993
,Intl relations & Defence,Foreign Affairs,Investment,FCO running costs,122.442,b,,,,122.442
,Intl relations & Defence,Foreign Affairs,Investment,Programme and grants,12,b,,,,12
,Intl relations & Defence,International Development,Day to day Spending,Regional programmes,3475.68,b,,,,3475.68
,Intl relations & Defence,International Development,Day to day Spending,Policy priorities,3018.502,b,,,,3018.502
,Intl relations & Defence,International Development,Day to day Spending,Operating costs,291.728,b,,,,291.728
,Intl relations & Defence,International Development,Day to day Spending,Other central programmes,190.267,b,,,,190.267
,Intl relations & Defence,International Development,Day to day Spending,"Conflict, Stability and Security Fund",97.127,b,,,,97.127
,Intl relations & Defence,International Development,Day to day Spending,Scholarships,25.252,b,,,,25.252
,Intl relations & Defence,International Development,Day to day Spending,Independent Commission for Aid,4.323,b,,,,4.323
,Intl relations & Defence,International Development,Day to day Spending,European Union  Attributed aid,501,b,,,,501
,Intl relations & Defence,International Development,Investment,Regional programmes,658.695,b,,,,658.695
,Intl relations & Defence,International Development,Investment,Policy priorities,2219.006,b,,,,2219.006
,Intl relations & Defence,International Development,Investment,Other central programmes,10.6,b,,,,10.6
,Centre of Government,Cabinet Office,Day to day Spending,Central Facilitation,202.963,b,,,,202.963
,Centre of Government,Cabinet Office,Day to day Spending,Efficiency and responsiveness,150.557,b,,,,150.557
,Centre of Government,Cabinet Office,Day to day Spending,Elections,4.75,b,,,,4.75
,Centre of Government,Cabinet Office,Day to day Spending,European Parliament,2.75,b,,,,2.75
,Centre of Government,Cabinet Office,Investment,Central Facilitation,25.011,b,,,,25.011
,Centre of Government,Cabinet Office,Investment,Efficiency and responsiveness,71.999,b,,,,71.999
,Centre of Government,Treasury,Day to day Spending,Treasury administration,114.927,b,,,,114.927
,Centre of Government,Treasury,Day to day Spending,Debt Management Office,20.38,b,,,,20.38
,Centre of Government,Treasury,Day to day Spending,UK Government Investments,12.1,b,,,,12.1
,Centre of Government,Treasury,Day to day Spending,Banking services,7.3,b,,,,7.3
,Centre of Government,Treasury,Day to day Spending,National Infrastructure Commission,6,b,,,,6
,Centre of Government,Treasury,Day to day Spending,Other,5.054,b,,,,5.054
,Centre of Government,Treasury,Day to day Spending,Unallocated provision,3,b,,,,3
,Centre of Government,Treasury,Investment,Core Treasury,103.963,b,,,,103.963
,Centre of Government,Treasury,Investment,Asian Infrastructure Bank,80,b,,,,80
,Centre of Government,Treasury,Investment,Other,3,b,,,,3
,"Criminal Justice, Borders & Fire ",Justice,Day to day Spending,Prisons and Probation,3890.976,b,,,,3890.976
