Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Public Services,Health,Day-to-day Spending,NHS Providers,72178,b,,,,72178
,Public Services,Health,Day-to-day Spending,NHS Commissioning Board (NHS England),38931,b,,,,38931
,Public Services,Health,Day-to-day Spending,Special Health Authorities,4035,b,,,,4035
,Public Services,Health,Day-to-day Spending,Local Authorities Health,3011,b,,,,3011
,Public Services,Health,Day-to-day Spending,Central department,2346,b,,,,2346
,Public Services,Health,Day-to-day Spending,Health Education England,1778,b,,,,1778
,Public Services,Health,Day-to-day Spending,Public Health England,796,b,,,,796
,Public Services,Health,Day-to-day Spending,Non-departmental & Arm's Length Bodies,444,b,,,,444
,Public Services,Health,Investment,NHS Providers,3363,b,,,,3363
,Public Services,Health,Investment,Central department,2502,b,,,,2502
,Public Services,Health,Investment,NHS Commissioning Board (NHS England),256,b,,,,256
,Public Services,Health,Investment,Public Health England,100,b,,,,100
,Public Services,Health,Investment,Non-departmental & Arm's Length Bodies,94,b,,,,94
,Public Services,Health,Investment,Special Health Authorities,46,b,,,,46
,Public Services,Health,Investment,Health Education England,2,b,,,,2
,Public Services,Education,Day-to-day Spending,Grants to local authority schools,30033,b,,,,30033
,Public Services,Education,Day-to-day Spending,Grants to academies,20019,b,,,,20019
,Public Services,Education,Day-to-day Spending,Higher education,5857,b,,,,5857
,Public Services,Education,Day-to-day Spending,"Standards, curriculum & qualifications",4945,b,,,,4945
,Public Services,Education,Day-to-day Spending,Education & Skills Funding Agency,3954,b,,,,3954
,Public Services,Education,Day-to-day Spending,School infrastructure & other ,555,b,,,,555
,Public Services,Education,Day-to-day Spending,Further education,482,b,,,,482
,Public Services,Education,Day-to-day Spending,Administration & central functions,368,b,,,,368
,Public Services,Education,Day-to-day Spending,Social care & mobility,256,b,,,,256
,Public Services,Education,Investment,Education & Skills Funding Agency,2028,b,,,,2028
,Public Services,Education,Investment,Grants to local authority schools,1908,b,,,,1908
,Public Services,Education,Investment,Grants to academies,802,b,,,,802
,Public Services,Education,Investment,Higher education,234,b,,,,234
,Public Services,Education,Investment,Administration & central functions,81,b,,,,81
,Public Services,Education,Investment,Further education,79,b,,,,79
,Public Services,Education,Investment,School infrastructure & other ,33,b,,,,33
,Public Services,Education,Investment,"Standards, curriculum & qualifications",16,b,,,,16
,Public Services,Education,Investment,Social care & mobility,1,b,,,,1
,Public Services,Local Government grants,Day-to-day Spending,Business rates retention,21608,b,,,,21608
,Public Services,Local Government grants,Day-to-day Spending,Other grants,2890,b,,,,2890
,Public Services,Local Government grants,Day-to-day Spending,Revenue Support Grant,1379,b,,,,1379
,Public Services,Housing & Communities,Day-to-day Spending,Housing & Planning,2039,b,,,,2039
,Public Services,Housing & Communities,Day-to-day Spending,Troubled Families,221,b,,,,221
,Public Services,Housing & Communities,Day-to-day Spending,Decentralisation & Local Growth,203,b,,,,203
,Public Services,Housing & Communities,Day-to-day Spending,MHCLG Staff & Infrastructure costs,200,b,,,,200
,Public Services,Housing & Communities,Day-to-day Spending,Local Government services,123,b,,,,123
,Public Services,Housing & Communities,Day-to-day Spending,"Research, data & trading funds",31,b,,,,31
,Public Services,Housing & Communities,Investment,Housing & Planning,7596,b,,,,7596
,Public Services,Housing & Communities,Investment,Decentralisation & Local Growth,1160,b,,,,1160
,Public Services,Housing & Communities,Investment,Local Government services,644,b,,,,644
,Public Services,Housing & Communities,Investment,MHCLG Staff & Infrastructure costs,11,b,,,,11
,Public Services,Housing & Communities,Investment,"Research, data & trading funds",6,b,,,,6
,Public Services,Digital Culture Media & Sport,Day-to-day Spending,"Museums, Galleries & Libraries",557,b,,,,557
,Public Services,Digital Culture Media & Sport,Day-to-day Spending,Arts & Heritage,487,b,,,,487
,Public Services,Digital Culture Media & Sport,Day-to-day Spending,Office for Civil Society,294,b,,,,294
,Public Services,Digital Culture Media & Sport,Day-to-day Spending,Sports,141,b,,,,141
,Public Services,Digital Culture Media & Sport,Day-to-day Spending,Broadcasting & Media,78,b,,,,78
,Public Services,Digital Culture Media & Sport,Day-to-day Spending,Other (inc Tourism),123,b,,,,123
,Public Services,Digital Culture Media & Sport,Investment,Broadcasting & Media,359,b,,,,359
,Public Services,Digital Culture Media & Sport,Investment,"Museums, Galleries & Libraries",124,b,,,,124
,Public Services,Digital Culture Media & Sport,Investment,Arts & Heritage,60,b,,,,60
,Public Services,Digital Culture Media & Sport,Investment,Sports,43,b,,,,43
,Public Services,Digital Culture Media & Sport,Investment,Other (inc Tourism),0,b,,,,0
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Pensions & pension credit,102132,b,,,,102132
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Disability & incapacity benefits,43592,b,,,,43592
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Working age & other benefits,37583,b,,,,37583
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Delivery & operations,4701,b,,,,4701
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Employment programmes,375,b,,,,375
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Support for local authorities,261,b,,,,261
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Other,813,b,,,,813
,Benefits & Pensions,Work & Pensions,Investment,Delivery & operations,83,b,,,,83
,Benefits & Pensions,Work & Pensions,Investment,Employment programmes,0,b,,,,0
,Benefits & Pensions,Work & Pensions,Investment,Other,172,b,,,,172
,Benefits & Pensions,HMRC,Day-to-day Spending,Tax credits,23455,b,,,,23455
,Benefits & Pensions,HMRC,Day-to-day Spending,Child benefit,11546,b,,,,11546
,Benefits & Pensions,HMRC,Day-to-day Spending,Other tax reliefs & allowances,3855,b,,,,3855
,Benefits & Pensions,HMRC,Day-to-day Spending,HMRC Administration,3301,b,,,,3301
,Benefits & Pensions,HMRC,Day-to-day Spending,Lifetime ISA,480,b,,,,480
,Benefits & Pensions,HMRC,Day-to-day Spending,National Insurance Fund,287,b,,,,287
,Benefits & Pensions,HMRC,Day-to-day Spending,Tax free childcare,248,b,,,,248
,Benefits & Pensions,HMRC,Day-to-day Spending,Valuation Office Administration ,151,b,,,,151
,Benefits & Pensions,HMRC,Day-to-day Spending,Payments in lieu of tax relief,95,b,,,,95
,Benefits & Pensions,HMRC,Day-to-day Spending,Payments of rates to local authorities,79,b,,,,79
,Benefits & Pensions,HMRC,Day-to-day Spending,Other,2,b,,,,2
