Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total,
,Public Services,Health,Day-to-day Spending,NHS Providers,86000,b,,,,86000,
,Public Services,Health,Day-to-day Spending,NHS Commissioning Board,32592.834,b,,,,32592.834,
,Public Services,Health,Day-to-day Spending,Central Administration,23278.677,b,,,,23278.677,
,Public Services,Health,Day-to-day Spending,Local Authorities Health,3526.5,b,,,,3526.5,
,Public Services,Health,Day-to-day Spending,Arm's Length and other Bodies,3386.2,b,,,,3386.2,
,Public Services,Health,Day-to-day Spending,Special Health Authorities,2808.574,b,,,,2808.574,
,Public Services,Health,Day-to-day Spending,Health Education England,1568.119,b,,,,1568.119,
,Public Services,Health,Day-to-day Spending,Public Health England,872.506,b,,,,872.506,
,Public Services,Health,Day-to-day Spending,Non Departmental Public Bodies,337.96,b,,,,337.96,
,Public Services,Health,Day-to-day Spending,Non Departmental Public Bodies,23443.279,b,,,,23443.279,
,Public Services,Health,Investment,NHS Providers,5921,b,,,,5921,
,Public Services,Health,Investment,Central Administration,1822.154,b,,,,1822.154,
,Public Services,Health,Investment,NHS Commissioning Board,300.654,b,,,,300.654,
,Public Services,Health,Investment,Arm's Length and other Bodies,225.005,b,,,,225.005,
,Public Services,Health,Investment,Public Health England,179,b,,,,179,
,Public Services,Health,Investment,Special Health Authorities,59.312,b,,,,59.312,
,Public Services,Health,Investment,Non Departmental Public Bodies,20.465,b,,,,20.465,
,Public Services,Health,Investment,Health Education England,2,b,,,,2,
,Public Services,Education,Day-to-day Spending,Grants to local authority schools,31191.939,b,,,,31191.939,
,Public Services,Education,Day-to-day Spending,Grants to academies,26580.487,b,,,,26580.487,
,Public Services,Education,Day-to-day Spending,Higher education,19881.732,b,,,,19881.732,
,Public Services,Education,Day-to-day Spending,Further education,5823.672,b,,,,5823.672,
,Public Services,Education,Day-to-day Spending,Education & Skills Funding Agency,2663.702,b,,,,2663.702,
,Public Services,Education,Day-to-day Spending,Early years and schools,2125.074,b,,,,2125.074,
,Public Services,Education,Day-to-day Spending,Administration & central functions,465.525,b,,,,465.525,
,Public Services,Education,Day-to-day Spending,"Social care, mobility and disadvantage",424.374,b,,,,424.374,
,Public Services,Education,Day-to-day Spending,Standards and testing ,35.314,b,,,,35.314,
,Public Services,Education,Day-to-day Spending,Teaching regulation,9.33,b,,,,9.33,
,Public Services,Education,Investment,Grants to local authority schools,1991.969,b,,,,1991.969,
,Public Services,Education,Investment,Early years and schools,1665.057,b,,,,1665.057,
,Public Services,Education,Investment,Grants to academies,1097.3,b,,,,1097.3,
,Public Services,Education,Investment,Further education,319.769,b,,,,319.769,
,Public Services,Education,Investment,Higher education,246.648,b,,,,246.648,
,Public Services,Education,Investment,Education & Skills Funding Agency,191.134,b,,,,191.134,
,Public Services,Education,Investment,Administration & central functions,69.503,b,,,,69.503,
,Public Services,Education,Investment,"Social care, mobility and disadvantage",32.67,b,,,,32.67,
,Public Services,Education,Investment,Standards and testing ,0.85,b,,,,0.85,
,Public Services,Local Government grants,Day-to-day Spending,Business Rate Retention (net),13233.938,b,,,,13233.938,
,Public Services,Local Government grants,Day-to-day Spending,Revenue Support Grant,1621.562,b,,,,1621.562,
