name,postcode,longitude,latitude
Aylesbury Registration Office ,HP20 1XF ,51.81526,-0.811955
Barnet Registration and Nationality Services ,NW4 4BG ,51.588264,-0.229251
Basford Records Centre,NG6 9DA,52.994884,-1.190896
Basildon Library,SS14 1EE,51.57091,0.454689
Bath Register Office,BA1 5AW ,51.382049,-2.358805
Beaconsfield Old Town Registration Office,HP9 2JJ,51.600923,-0.635367
Bedfordshire Court House,MK45 2HX,52.03208,-0.497954
Belfast UKVI Premium Service Centre ,BT1 3GN ,54.596824,-5.923568
Bexley Register Office,DA6 8HL,51.455769,0.122579
Blackpool Registration Service,FY1 1AP,53.817321,-3.05639
Boston Registration & Celebratory Service ,PE21 8QN ,52.976396,-0.027639
Brent Registration and Nationality,HA9 0FJ,51.559041,-0.281683
Bridgend Register Office,CF31 4AR,51.504924,-3.583144
Brighton Register Office,BN1 1JA,50.820835,-0.140029
Bristol Citizen Service Point,BS1 6AG,51.449555,-2.586632
Burton upon Trent Registration Office ,DE14 1AH ,52.80299,-1.627591
Caerphilly Register Office,CF82 7PG ,51.644943,-3.249773
Calderdale Customer First,HX1 1QE ,53.721223,-1.856362
Camden Registration Services ,WC1H 9LG ,51.526365,-0.128417
Canterbury Registration Office,CT2 7RD,51.283967,1.079401
Cardiff Register Office,CF10 3ND,51.485148,-3.178659
Ceredigion Registration Service,SY23 3UE,52.407725,-4.069981
Charing Cross Library,WC2H 0HF,51.510273,-0.128125
Chelmsford Library,CM1 1QH,51.734973,0.469597
Chester Register Office,CH1 2BG,53.190418,-2.892742
Cleethorpes Town Hall - North East Lincolnshire Register Office,DN35 8LN,53.558009,-0.026835
Colchester Library (Colchester Borough Council),CO1 1JB,51.888485,0.899719
Conwy Registration Office,LL30 2UP,53.324044,-3.830996
Crowborough Register Office,TN6 1RH,51.058009,0.153968
Croydon Register Office,CR0 1NX,51.372569,-0.099081
Cumnock Register Office,KA18 1LH ,55.452707,-4.260834
Dartford Registration Office,DA1 2BJ,51.447677,0.21388
Dudley Register Office ,DY1 4EU ,52.517145,-2.087604
Dumfries Registration Office,DG1 2AD,55.070357,-3.614192
Ealing Register Office,W5 2BY ,51.513328,-0.307284
Eastbourne Register Office,BN21 4UG,50.766831,0.278046
Edinburgh Registrar Office,EH1 1YP ,55.950381,-3.190728
Exeter Register Office,EX2 4NG,50.716774,-3.525282
Glasgow Registrars Office,G1 1JE,55.86874,-4.243491
Greenwich Town Hall,SE18 6HQ,51.489449,0.065586
Hackney Service Centre,E8 1DY ,51.544971,-0.05752
Hammersmith and Fulham Register Office,W6 9AR,51.492471,-0.239148
Harlow Library,CM20 1HA,51.768741,0.094561
Harrogate Register Office,HG1 5AG,53.994763,-1.527614
Hastings Register Office,TN34 1QR,50.856393,0.58061
Helensburgh and Lomond Civic Centre,G84 7PG,56.002103,-4.728727
Herefordshire Register Office ,HR1 2PJ,52.055503,-2.713138
Hertfordshire Register Office ,AL10 0NG ,51.765775,-0.218528
Hounslow Register Office ,TW14 0JJ,51.456355,-0.408925
Hull Registration Service ,HU1 2AB ,53.744072,-0.326561
Isle of Wight Register Office,PO30 2QS,50.70668,-1.289538
Islington Town Hall,N1 2UD,51.541707,-0.102176
Kensington and Chelsea Register Office ,SW3 5EE ,51.487471,-0.168195
Kilmarnock Burns Monument Centre ,KA3 7RU ,55.612908,-4.489742
Kingston upon Thames Contact Centre,KT1 1EU,51.40772,-0.305939
Lambeth Register Office,SW2 1EG,51.45931,-0.117273
Leeds - Armley community hub,LS12 1UQ,53.797127,-1.58821
Leeds - City centre community hub,LS2 8LX,53.801516,-1.54493
Leeds - Compton Centre community hub,LS9 7BG,53.809452,-1.510003
Leeds - Dewsbury Road community hub,LS11 6PF,53.778907,-1.545595
Leeds - Reginald Centre community hub and library,LS7 3EX,53.817673,-1.531703
Leicester Register Office,LE1 9BG,52.633403,-1.132801
Leicestershire Register Office ,LE3 8RE ,52.655711,-1.188005
Lewes Register Office,BN7 1TP,50.870731,0.007028
Lewisham Laurence House,SE6 4RU,51.445254,-0.020152
Leytonstone Library,E11 1HG,51.568244,0.009099
Lincolnshire County Council ,LN2 1NN ,53.231236,-0.536646
Liverpool One Stop Shop ,L1 1LR ,53.406176,-2.980708
Livingstone West Lothian Council ,EH54 6FF ,55.887077,-3.515402
Maidenhead Register Office ,SL6 1RF ,51.521951,-0.718662
Maidstone Register Office,ME15 6YE,51.271374,0.521171
Manchester Register Office,M2 5LE,53.479207,-2.246379
Mansfield County House,NG19 7AQ,53.151567,-1.202804
Merton Register Office,SM4 5QU ,51.39335,-0.206828
Newcastle upon Tyne Register Office,NE1 8QH ,54.978417,-1.610576
Newcastle-under-Lyme Registration Office ,ST5 1BL ,53.01203,-2.22454
Northallerton Registration Office,DL7 8XE,54.333007,-1.439167
Northamptonshire Registration Service,NN1 1ED,52.235518,-0.896042
Nottinghamshire Register Office (Worksop),S80 2BP,53.304441,-1.119209
Oban Municipal Building,PA34 4AW,56.411545,-5.473797
Orkney Islands Registration Office,KW15 1NY,58.981472,-2.956807
Oxford Register Office,OX1 1NS,51.751978,-1.263543
Paddington Library,W2 5DU,51.517419,-0.188642
Perth Registrar's Office,PH1 5JS,56.396996,-3.426693
Peterborough Register Office,PE3 6AB,52.57222,-0.251423
Pontypridd Register Office,CF37 2DP,51.604726,-3.340753
Preston Registration Service,PR1 2RE,53.758492,-2.711371
Ramsgate Registration Office,CT11 9ST,51.336064,1.410122
Richmond upon Thames Registration Service,TW1 3AA,51.4475,-0.324528
Sandwell Register Office ,B70 8RJ ,52.52199,-1.997981
Scarborough Registration Office,YO12 6PH,54.295728,-0.417506
Sheffield City Council,S1 2SH,53.378317,-1.470032
Siop Gwynedd Caernarfon,LL55 1SH,53.140238,-4.277199
Slough Register Office ,SL1 1XY ,51.509809,-0.595001
Southampton Register Office ,SO14 2AJ ,50.898397,-1.405889
Southwark Register Office ,SE5 8QA ,51.473331,-0.081904
Stockport Register Office,SK1 3XE,53.405974,-2.158487
Stockton-on-Tees Register Office ,TS18 2AL ,54.568931,-1.316851
Sutton Register Office,SM2 6PR,51.356295,-0.19541
Tower Hamlets Register Office,E3 3AA,51.527882,-0.02033
Trafford Register Office ,M33 7ZF ,53.425111,-2.32
