ons_id,constituency,county,region,xindex,yindex,result,gender,party,mp,experience,ons_id,gain_party,gain_result,loss_party,loss_result
N06000008,Foyle,Northern Ireland,Northern Ireland,9,55,Undeclared,Undeclared,Undeclared,,Undeclared,N06000008,,Undeclared,,Undeclared
N06000018,West Tyrone,Northern Ireland,Northern Ireland,8,54,Undeclared,Undeclared,Undeclared,,Undeclared,N06000018,,Undeclared,,Undeclared
N06000007,Fermanagh and South Tyrone,Northern Ireland,Northern Ireland,8,53,Undeclared,Undeclared,Undeclared,,Undeclared,N06000007,,Undeclared,,Undeclared
N06000010,Mid Ulster,Northern Ireland,Northern Ireland,9,54,Undeclared,Undeclared,Undeclared,,Undeclared,N06000010,,Undeclared,,Undeclared
N06000006,East Londonderry,Northern Ireland,Northern Ireland,10,55,Undeclared,Undeclared,Undeclared,,Undeclared,N06000006,,Undeclared,,Undeclared
N06000017,Upper Bann,Northern Ireland,Northern Ireland,9,53,Undeclared,Undeclared,Undeclared,,Undeclared,N06000017,,Undeclared,,Undeclared
N06000011,Newry and Armagh,Northern Ireland,Northern Ireland,9,52,Undeclared,Undeclared,Undeclared,,Undeclared,N06000011,,Undeclared,,Undeclared
N06000014,South Antrim,Northern Ireland,Northern Ireland,10,54,Undeclared,Undeclared,Undeclared,,Undeclared,N06000014,,Undeclared,,Undeclared
N06000012,North Antrim,Northern Ireland,Northern Ireland,11,55,Undeclared,Undeclared,Undeclared,,Undeclared,N06000012,,Undeclared,,Undeclared
N06000015,South Down,Northern Ireland,Northern Ireland,10,52,Undeclared,Undeclared,Undeclared,,Undeclared,N06000015,,Undeclared,,Undeclared
N06000009,Lagan Valley,Northern Ireland,Northern Ireland,10,53,Undeclared,Undeclared,Undeclared,,Undeclared,N06000009,,Undeclared,,Undeclared
N06000005,East Antrim,Northern Ireland,Northern Ireland,12,55,Undeclared,Undeclared,Undeclared,,Undeclared,N06000005,,Undeclared,,Undeclared
N06000002,Belfast North,Northern Ireland,Northern Ireland,11,54,Undeclared,Undeclared,Undeclared,,Undeclared,N06000002,,Undeclared,,Undeclared
N06000004,Belfast West,Northern Ireland,Northern Ireland,11,53,Undeclared,Undeclared,Undeclared,,Undeclared,N06000004,,Undeclared,,Undeclared
N06000016,Strangford,Northern Ireland,Northern Ireland,11,52,Undeclared,Undeclared,Undeclared,,Undeclared,N06000016,,Undeclared,,Undeclared
N06000003,Belfast South,Northern Ireland,Northern Ireland,12,53,Undeclared,Undeclared,Undeclared,,Undeclared,N06000003,,Undeclared,,Undeclared
N06000001,Belfast East,Northern Ireland,Northern Ireland,12,54,Undeclared,Undeclared,Undeclared,,Undeclared,N06000001,,Undeclared,,Undeclared
N06000013,North Down,Northern Ireland,Northern Ireland,12,52,Undeclared,Undeclared,Undeclared,,Undeclared,N06000013,,Undeclared,,Undeclared
S14000038,Inverclyde,Glasgow & Clyde,Scotland,16,66,Undeclared,Undeclared,Undeclared,,Undeclared,S14000038,,Undeclared,,Undeclared
S14000048,North Ayrshire and Arran,South West Scotland,Scotland,18,62,Undeclared,Undeclared,Undeclared,,Undeclared,S14000048,,Undeclared,,Undeclared
E14000964,St Ives,Cornwall,South West,12,4,Undeclared,Undeclared,Undeclared,,Undeclared,E14000964,,Undeclared,,Undeclared
S14000053,Paisley and Renfrewshire South,Glasgow & Clyde,Scotland,17,65,Undeclared,Undeclared,Undeclared,,Undeclared,S14000053,,Undeclared,,Undeclared
S14000052,Paisley and Renfrewshire North,Glasgow & Clyde,Scotland,17,66,Undeclared,Undeclared,Undeclared,,Undeclared,S14000052,,Undeclared,,Undeclared
S14000059,West Dunbartonshire,Glasgow & Clyde,Scotland,18,68,Undeclared,Undeclared,Undeclared,,Undeclared,S14000059,,Undeclared,,Undeclared
E14000616,Camborne and Redruth,Cornwall,South West,13,4,Undeclared,Undeclared,Undeclared,,Undeclared,E14000616,,Undeclared,,Undeclared
W07000046,Gower,South Wales,Wales,15,19,Undeclared,Undeclared,Undeclared,,Undeclared,W07000046,,Undeclared,,Undeclared
W07000047,Swansea West,South Wales,Wales,16,19,Undeclared,Undeclared,Undeclared,,Undeclared,W07000047,,Undeclared,,Undeclared
S14000021,East Renfrewshire,Glasgow & Clyde,Scotland,18,65,Undeclared,Undeclared,Undeclared,,Undeclared,S14000021,,Undeclared,,Undeclared
S14000018,East Dunbartonshire,Glasgow & Clyde,Scotland,19,68,Undeclared,Undeclared,Undeclared,,Undeclared,S14000018,,Undeclared,,Undeclared
E14001003,Truro and Falmouth,Cornwall,South West,14,4,Undeclared,Undeclared,Undeclared,,Undeclared,E14001003,,Undeclared,,Undeclared
W07000066,Carmarthen West and South Pembrokeshire,West Wales,Wales,11,22,Undeclared,Undeclared,Undeclared,,Undeclared,W07000066,,Undeclared,,Undeclared
W07000048,Swansea East,South Wales,Wales,17,19,Undeclared,Undeclared,Undeclared,,Undeclared,W07000048,,Undeclared,,Undeclared
W07000065,Preseli Pembrokeshire,West Wales,Wales,10,22,Undeclared,Undeclared,Undeclared,,Undeclared,W07000065,,Undeclared,,Undeclared
S14000027,Na h-Eileanan an Iar,Highlands & Islands,Scotland,20,77,Undeclared,Undeclared,Undeclared,,Undeclared,S14000027,,Undeclared,,Undeclared
E14000961,St Austell and Newquay,Cornwall,South West,15,4,Undeclared,Undeclared,Undeclared,,Undeclared,E14000961,,Undeclared,,Undeclared
W07000041,Ynys Mon,North Wales,Wales,15,35,Undeclared,Undeclared,Undeclared,,Undeclared,W07000041,,Undeclared,,Undeclared
W07000045,Llanelli,West Wales,Wales,12,21,Undeclared,Undeclared,Undeclared,,Undeclared,W07000045,,Undeclared,,Undeclared
W07000061,Dwyfor Meirionnydd,North Wales,Wales,16,33,Undeclared,Undeclared,Undeclared,,Undeclared,W07000061,,Undeclared,,Undeclared
